manualData,cf_post2014,standard
,* (1.1.1) physical concerns - constipation category difference *,DIFF_CAT_Constipation
,* (1.1.1) physical concerns - diarrhoea (before) *,BEFORE_Diarrhoea
,* (1.1.1) physical concerns - diarrhoea (after) *,AFTER_Diarrhoea
,* (1.1.1) physical concerns - diarrhoea numeric difference *,DIFF_NUM_Diarrhoea
,* (1.1.1) physical concerns - diarrhoea category difference *,DIFF_CAT_Diarrhoea
,* (1.1.1) physical concerns - eating or appetite (before) *,BEFORE_Eating/Appetite
,* (1.1.1) physical concerns - eating or appetite (after) *,AFTER_Eating/Appetite
,* (1.1.1) physical concerns - eating or appetite numeric difference *,DIFF_NUM_Eating/Appetite
,* (1.1.1) physical concerns - eating or appetite category difference *,DIFF_CAT_Eating/Appetite
,* (1.1.1) physical concerns - indigestion (before) *,BEFORE_Indigestion
,* (1.1.1) physical concerns - indigestion (after) *,AFTER_Indigestion
,* (1.1.1) physical concerns - indigestion numeric difference *,DIFF_NUM_Indigestion
,* (1.1.1) physical concerns - indigestion category difference *,DIFF_CAT_Indigestion
,* (1.1.1) physical concerns - sore or dry mouth (before) *,BEFORE_Sore/Dry Mouth
,* (1.1.1) physical concerns - sore or dry mouth (after) *,AFTER_Sore/Dry Mouth
,* (1.1.1) physical concerns - sore or dry mouth numeric difference *,DIFF_NUM_Sore/Dry Mouth
,* (1.1.1) physical concerns - sore or dry mouth category difference *,DIFF_CAT_Sore/Dry Mouth
,* (1.1.1) physical concerns - nausea or vomiting (before) *,BEFORE_Nausea/Vomiting
,* (1.1.1) physical concerns - nausea or vomiting (after) *,AFTER_Nausea/Vomiting
,* (1.1.1) physical concerns - nausea or vomiting numeric difference *,DIFF_NUM_Nausea/Vomiting
,* (1.1.1) physical concerns - nausea or vomiting category difference *,DIFF_CAT_Nausea/Vomiting
,* (1.1.2) physical concerns - sleep problems or nightmares (before) *,BEFORE_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - sleep problems or nightmares (after) *,AFTER_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - sleep problems or nightmares numeric difference *,DIFF_NUM_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - sleep problems or nightmares category difference *,DIFF_CAT_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - tired exhausted fatigued (before) *,BEFORE_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - tired exhausted fatigued (after) *,AFTER_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - tired exhausted fatigued numeric difference *,DIFF_NUM_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - tired exhausted fatigued category difference *,DIFF_CAT_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - swollen limb or tummy (before) *,BEFORE_Swollen Tummy/Limb
,* (1.1.2) physical concerns - swollen limb or tummy (after) *,AFTER_Swollen Tummy/Limb
,* (1.1.2) physical concerns - swollen limb or tummy numeric difference *,DIFF_NUM_Swollen Tummy/Limb
,* (1.1.2) physical concerns - swollen limb or tummy category difference *,DIFF_CAT_Swollen Tummy/Limb
,* (1.1.2) physical concerns - high temperature or fever (before) *,BEFORE_High Temperature/Fever
,* (1.1.2) physical concerns - high temperature or fever (after) *,AFTER_High Temperature/Fever
,* (1.1.2) physical concerns - high temperature or fever numeric difference *,DIFF_NUM_High Temperature/Fever
,* (1.1.2) physical concerns - high temperature or fever category difference *,DIFF_CAT_High Temperature/Fever
,* (1.1.2) physical concerns - getting around walking (before) *,BEFORE_Getting Around
,* (1.1.2) physical concerns - getting around walking (after) *,AFTER_Getting Around
,* (1.1.2) physical concerns - getting around walking numeric difference *,DIFF_NUM_Getting Around
,* (1.1.2) physical concerns - getting around walking category difference *,DIFF_CAT_Getting Around
,* (1.1.2) physical concerns - tingling in hands or feet (before) *,BEFORE_Tingling in Hands/Feet
,* (1.1.2) physical concerns - tingling in hands or feet (after) *,AFTER_Tingling in Hands/Feet
,* (1.1.2) physical concerns - tingling in hands or feet numeric difference *,DIFF_NUM_Tingling in Hands/Feet
,* (1.1.2) physical concerns - tingling in hands or feet category difference *,DIFF_CAT_Tingling in Hands/Feet
,* (1.1.2) physical concerns - pain (before) *,BEFORE_Pain
,* (1.1.2) physical concerns - pain (after) *,AFTER_Pain
,* (1.1.2) physical concerns - pain numeric difference *,DIFF_NUM_Pain
,* (1.1.2) physical concerns - pain category difference *,DIFF_CAT_Pain
,* (1.1.2) physical concerns - hot flushes or sweating (before) *,BEFORE_Hot Flushes/Sweating
,* (1.1.2) physical concerns - hot flushes or sweating (after) *,AFTER_Hot Flushes/Sweating
,* (1.1.2) physical concerns - hot flushes or sweating numeric difference *,DIFF_NUM_Hot Flushes/Sweating
,* (1.1.2) physical concerns - hot flushes or sweating category difference *,DIFF_CAT_Hot Flushes/Sweating
,* (1.1.3) physical concerns - dry itchy or sore skin (before) *,BEFORE_Dry/Itchy/Sore Skin
,* (1.1.3) physical concerns - dry itchy or sore skin (after) *,AFTER_Dry/Itchy/Sore Skin
,* (1.1.3) physical concerns - dry itchy or sore skin numeric difference *,DIFF_NUM_Dry/Itchy/Sore Skin
,* (1.1.3) physical concerns - dry itchy or sore skin category difference *,DIFF_CAT_Dry/Itchy/Sore Skin
,* (1.1.3) physical concerns - wound care after surgery (before) *,BEFORE_Wound Care after Surgery
,* (1.1.3) physical concerns - wound care after surgery (after) *,AFTER_Wound Care after Surgery
,* (1.1.3) physical concerns - wound care after surgery numeric difference *,DIFF_NUM_Wound Care after Surgery
,* (1.1.3) physical concerns - wound care after surgery category difference *,DIFF_CAT_Wound Care after Surgery
,* (1.1.3) physical concerns - memory or concentration (before) *,BEFORE_Memory or Concentration
,* (1.1.3) physical concerns - memory or concentration (after) *,AFTER_Memory or Concentration
,* (1.1.3) physical concerns - memory or concentration numeric difference *,DIFF_NUM_Memory or Concentration
,* (1.1.3) physical concerns - memory or concentration category difference *,DIFF_CAT_Memory or Concentration
,* (1.1.3) physical concerns - taste sight hearing (before) *,BEFORE_Taste/Sight/Hearing
,* (1.1.3) physical concerns - taste sight hearing (after) *,AFTER_Taste/Sight/Hearing
,* (1.1.3) physical concerns - taste sight hearing numeric difference *,DIFF_NUM_Taste/Sight/Hearing
,* (1.1.3) physical concerns - taste sight hearing category difference *,DIFF_CAT_Taste/Sight/Hearing
,* (1.1.3) physical concerns - speech problems (before) *,BEFORE_Speech Problems
,* (1.1.3) physical concerns - speech problems (after) *,AFTER_Speech Problems
,* (1.1.3) physical concerns - speech problems numeric difference *,DIFF_NUM_Speech Problems
,* (1.1.3) physical concerns - speech problems category difference *,DIFF_CAT_Speech Problems
,* (1.1.3) physical concerns - my appearance (before) *,BEFORE_My Appearance
,* (1.1.3) physical concerns - my appearance (after) *,AFTER_My Appearance
,* (1.1.3) physical concerns - my appearance numeric difference *,DIFF_NUM_My Appearance
,* (1.1.3) physical concerns - my appearance category difference *,DIFF_CAT_My Appearance
,* (1.1.3) physical concerns - sexuality (before) *,BEFORE_Sexuality
,* (1.1.3) physical concerns - sexuality (after) *,AFTER_Sexuality
,* (1.1.3) physical concerns - sexuality numeric difference *,DIFF_NUM_Sexuality
,* (1.1.3) physical concerns - sexuality category difference *,DIFF_CAT_Sexuality
,* (1.1.3) physical concerns - unplanned changes in weight (before) *,BEFORE_Unplanned Changes in Weight
,* (1.1.3) physical concerns - unplanned changes in weight (after) *,AFTER_Unplanned Changes in Weight
,* (1.1.3) physical concerns - unplanned changes in weight numeric difference *,DIFF_NUM_Unplanned Changes in Weight
,* (1.1.3) physical concerns - unplanned changes in weight category difference *,DIFF_CAT_Unplanned Changes in Weight
,* (1.1.4) practical concerns - caring responsibilities (before) *,BEFORE_Caring Responsibilities
,* (1.1.4) practical concerns - caring responsibilities (after) *,AFTER_Caring Responsibilities
,* (1.1.4) practical concerns - caring responsibilities numeric difference *,DIFF_NUM_Caring Responsibilities
,* (1.1.4) practical concerns - caring responsibilities category difference *,DIFF_CAT_Caring Responsibilities
,* (1.1.4) practical concerns - work and education (before) *,BEFORE_Work and Education
,* (1.1.4) practical concerns - work and education (after) *,AFTER_Work and Education
,* (1.1.4) practical concerns - work and education numeric difference *,DIFF_NUM_Work and Education
,* (1.1.4) practical concerns - work and education category difference *,DIFF_CAT_Work and Education
,* (1.1.4) practical concerns - money or housing (before) *,BEFORE_Money or Housing
,* (1.1.4) practical concerns - money or housing (after) *,AFTER_Money or Housing
,* (1.1.4) practical concerns - money or housing numeric difference *,DIFF_NUM_Money or Housing
,* (1.1.4) practical concerns - money or housing category difference *,DIFF_CAT_Money or Housing
,* (1.1.4) practical concerns - insurance and travel (before) *,BEFORE_Insurance and Travel
,* (1.1.4) practical concerns - insurance and travel (after) *,AFTER_Insurance and Travel
,* (1.1.4) practical concerns - insurance and travel numeric difference *,DIFF_NUM_Insurance and Travel
,* (1.1.4) practical concerns - insurance and travel category difference *,DIFF_CAT_Insurance and Travel
,* (1.1.4) practical concerns - transport or parking (before) *,BEFORE_Transport or Parking
,* (1.1.4) practical concerns - transport or parking (after) *,AFTER_Transport or Parking
,* (1.1.4) practical concerns - transport or parking numeric difference *,DIFF_NUM_Transport or Parking
,* (1.1.4) practical concerns - transport or parking category difference *,DIFF_CAT_Transport or Parking
,* (1.1.4) practical concerns - contact communication with nhs staff (before) *,BEFORE_Contact/Communication with NHS Staff
,* (1.1.4) practical concerns - contact communication with nhs staff (after) *,AFTER_Contact/Communication with NHS Staff
,* (1.1.4) practical concerns - contact communication with nhs staff numeric difference *,DIFF_NUM_Contact/Communication with NHS Staff
,* (1.1.4) practical concerns - contact communication with nhs staff category difference *,DIFF_CAT_Contact/Communication with NHS Staff
,* (1.1.4) practical concerns - housework or shopping (before) *,BEFORE_Housework or Shopping
,* (1.1.4) practical concerns - housework or shopping (after) *,AFTER_Housework or Shopping
,* (1.1.4) practical concerns - housework or shopping numeric difference *,DIFF_NUM_Housework or Shopping
,* (1.1.4) practical concerns - housework or shopping category difference *,DIFF_CAT_Housework or Shopping
,* (1.1.4) practical concerns - washing and dressing (before) *,BEFORE_Washing and Dressing
,* (1.1.4) practical concerns - washing and dressing (after) *,AFTER_Washing and Dressing
,* (1.1.4) practical concerns - washing and dressing numeric difference *,DIFF_NUM_Washing and Dressing
,* (1.1.4) practical concerns - washing and dressing category difference *,DIFF_CAT_Washing and Dressing
,* (1.1.4) practical concerns - preparing meals and drinks (before) *,BEFORE_Preparing Meals/drinks
,* (1.1.4) practical concerns - preparing meals and drinks (after) *,AFTER_Preparing Meals/drinks
,* (1.1.4) practical concerns - preparing meals and drinks numeric difference *,DIFF_NUM_Preparing Meals/drinks
,* (1.1.4) practical concerns - preparing meals and drinks category difference *,DIFF_CAT_Preparing Meals/drinks
,* (1.1.5) family and relationship concerns - partner (before) *,BEFORE_Partner
,* (1.1.5) family and relationship concerns - partner (after) *,AFTER_Partner
,* (1.1.5) family and relationship concerns - partner numeric difference *,DIFF_NUM_Partner
,* (1.1.5) family and relationship concerns - partner category difference *,DIFF_CAT_Partner
,* (1.1.5) family and relationship concerns - children (before) *,BEFORE_Children
,* (1.1.5) family and relationship concerns - children (after) *,AFTER_Children
,* (1.1.5) family and relationship concerns - children numeric difference *,DIFF_NUM_Children
,* (1.1.5) family and relationship concerns - children category difference *,DIFF_CAT_Children
,* (1.1.5) family and relationship concerns - other relatives or friends (before) *,BEFORE_Other Relatives/Friends
,* (1.1.5) family and relationship concerns - other relatives or friends (after) *,AFTER_Other Relatives/Friends
,* (1.1.5) family and relationship concerns - other relatives or friends numeric difference *,DIFF_NUM_Other Relatives/Friends
,* (1.1.5) family and relationship concerns - other relatives or friends category difference *,DIFF_CAT_Other Relatives/Friends
,* (1.1.6) emotional concerns - difficulty making plans (before) *,BEFORE_Difficulty Making Plans
,* (1.1.6) emotional concerns - difficulty making plans (after) *,AFTER_Difficulty Making Plans
,* (1.1.6) emotional concerns - difficulty making plans numeric difference *,DIFF_NUM_Difficulty Making Plans
,* (1.1.6) emotional concerns - difficulty making plans category difference *,DIFF_CAT_Difficulty Making Plans
,* (1.1.6) emotional concerns - loss of interest or activities (before) *,BEFORE_Loss of Interest in Activities
,* (1.1.6) emotional concerns - loss of interest or activities (after) *,AFTER_Loss of Interest in Activities
,* (1.1.6) emotional concerns - loss of interest or activities numeric difference *,DIFF_NUM_Loss of Interest in Activities
,* (1.1.6) emotional concerns - loss of interest or activities category difference *,DIFF_CAT_Loss of Interest in Activities
,* (1.1.6) emotional concerns - unable to express feelings (before) *,BEFORE_Unable to Express Feelings
,* (1.1.6) emotional concerns - unable to express feelings (after) *,AFTER_Unable to Express Feelings
,* (1.1.6) emotional concerns - unable to express feelings numeric difference *,DIFF_NUM_Unable to Express Feelings
,* (1.1.6) emotional concerns - unable to express feelings category difference *,DIFF_CAT_Unable to Express Feelings
,* (1.1.6) emotional concerns - anger or frustration (before) *,BEFORE_Anger/Frustration
,* (1.1.6) emotional concerns - anger or frustration (after) *,AFTER_Anger/Frustration
,* (1.1.6) emotional concerns - anger or frustration numeric difference *,DIFF_NUM_Anger/Frustration
,* (1.1.6) emotional concerns - anger or frustration category difference *,DIFF_CAT_Anger/Frustration
,* (1.1.6) emotional concerns - guilt (before) *,BEFORE_Guilt
,* (1.1.6) emotional concerns - guilt (after) *,AFTER_Guilt
,* (1.1.6) emotional concerns - guilt numeric difference *,DIFF_NUM_Guilt
,* (1.1.6) emotional concerns - guilt category difference *,DIFF_CAT_Guilt
,* (1.1.6) emotional concerns - hopelessness (before) *,BEFORE_Hopelessness
,* (1.1.6) emotional concerns - hopelessness (after) *,AFTER_Hopelessness
,* (1.1.6) emotional concerns - hopelessness numeric difference *,DIFF_NUM_Hopelessness
,* (1.1.6) emotional concerns - hopelessness category difference *,DIFF_CAT_Hopelessness
,* (1.1.6) emotional concerns - loneliness or isolation (before) *,BEFORE_Loneliness/Isolation
,* (1.1.6) emotional concerns - loneliness or isolation (after) *,AFTER_Loneliness/Isolation
,* (1.1.6) emotional concerns - loneliness or isolation numeric difference *,DIFF_NUM_Loneliness/Isolation
,* (1.1.6) emotional concerns - loneliness or isolation category difference *,DIFF_CAT_Loneliness/Isolation
,* (1.1.6) emotional concerns - sadness or depression (before) *,BEFORE_Sadness or Depression
,* (1.1.6) emotional concerns - sadness or depression (after) *,AFTER_Sadness or Depression
,* (1.1.6) emotional concerns - sadness or depression numeric difference *,DIFF_NUM_Sadness or Depression
,* (1.1.6) emotional concerns - sadness or depression category difference *,DIFF_CAT_Sadness or Depression
,* (1.1.6) emotional concerns - worry fear or anxiety (before) *,BEFORE_Worry/Fear/Anxiety
,* (1.1.6) emotional concerns - worry fear or anxiety (after) *,AFTER_Worry/Fear/Anxiety
,* (1.1.6) emotional concerns - worry fear or anxiety numeric difference *,DIFF_NUM_Worry/Fear/Anxiety
,* (1.1.6) emotional concerns - worry fear or anxiety category difference *,DIFF_CAT_Worry/Fear/Anxiety
,* (1.1.7) spiritual or religious concerns - loss of faith spiritual concern (before) *,BEFORE_Loss of Faith or Spiritual Concern
,* (1.1.7) spiritual or religious concerns - loss of faith spiritual concern (after) *,AFTER_Loss of Faith or Spiritual Concern
,* (1.1.7) spiritual or religious concerns - loss of faith spiritual concern numeric difference *,DIFF_NUM_Loss of Faith or Spiritual Concern
,* (1.1.7) spiritual or religious concerns - loss of faith spiritual concern category difference *,DIFF_CAT_Loss of Faith or Spiritual Concern
,* (1.1.7) spiritual or religious concerns - loss meaning purpose of life (before) *,BEFORE_Loss of Meaning or Purpose of Life
,* (1.1.7) spiritual or religious concerns - loss meaning purpose of life (after) *,AFTER_Loss of Meaning or Purpose of Life
,* (1.1.7) spiritual or religious concerns - loss meaning purpose of life numeric difference *,DIFF_NUM_Loss of Meaning or Purpose of Life
,* (1.1.7) spiritual or religious concerns - loss meaning purpose of life category difference *,DIFF_CAT_Loss of Meaning or Purpose of Life
,* (1.1.7) spiritual or religious concerns - not being at peace or regret (before) *,BEFORE_Not Being at Peace with or Feeling Regret about the Past
,* (1.1.7) spiritual or religious concerns - not being at peace or regret (after) *,AFTER_Not Being at Peace with or Feeling Regret about the Past
,* (1.1.7) spiritual or religious concerns - not being at peace or regret numeric difference *,DIFF_NUM_Not Being at Peace with or Feeling Regret about the Past
,* (1.1.7) spiritual or religious concerns - not being at peace or regret category difference *,DIFF_CAT_Not Being at Peace with or Feeling Regret about the Past
,* (1.1.8) lifestyle concerns - support groups (before) *,BEFORE_Support Groups
,* (1.1.8) lifestyle concerns - support groups (after) *,AFTER_Support Groups
,* (1.1.8) lifestyle concerns - support groups numeric difference *,DIFF_NUM_Support Groups
,* (1.1.8) lifestyle concerns - support groups category difference *,DIFF_CAT_Support Groups
,* (1.1.8) lifestyle concerns - complementary therapies (before) *,BEFORE_Complementary Therapies
,* (1.1.8) lifestyle concerns - complementary therapies (after) *,AFTER_Complementary Therapies
,* (1.1.8) lifestyle concerns - complementary therapies numeric difference *,DIFF_NUM_Complementary Therapies
,* (1.1.8) lifestyle concerns - complementary therapies category difference *,DIFF_CAT_Complementary Therapies
,* (1.1.8) lifestyle concerns - diet and nutrition (before) *,BEFORE_Diet and Nutrition
,* (1.1.8) lifestyle concerns - diet and nutrition (after) *,AFTER_Diet and Nutrition
,* (1.1.8) lifestyle concerns - diet and nutrition numeric difference *,DIFF_NUM_Diet and Nutrition
,* (1.1.8) lifestyle concerns - diet and nutrition category difference *,DIFF_CAT_Diet and Nutrition
,* (1.1.8) lifestyle concerns - exercise and activity (before) *,BEFORE_Exercise and Activity
,* (1.1.8) lifestyle concerns - exercise and activity (after) *,AFTER_Exercise and Activity
,* (1.1.8) lifestyle concerns - exercise and activity numeric difference *,DIFF_NUM_Exercise and Activity
,* (1.1.8) lifestyle concerns - exercise and activity category difference *,DIFF_CAT_Exercise and Activity
,* (1.1.8) lifestyle concerns - smoking (before) *,BEFORE_Smoking
,* (1.1.8) lifestyle concerns - smoking (after) *,AFTER_Smoking
,* (1.1.8) lifestyle concerns - smoking numeric difference *,DIFF_NUM_Smoking
,* (1.1.8) lifestyle concerns - smoking category difference *,DIFF_CAT_Smoking
,* (1.1.8) lifestyle concerns - alcohol or drugs (before) *,BEFORE_Alcohol or Drugs
,* (1.1.8) lifestyle concerns - alcohol or drugs (after) *,AFTER_Alcohol or Drugs
,* (1.1.8) lifestyle concerns - alcohol or drugs numeric difference *,DIFF_NUM_Alcohol or Drugs
,* (1.1.8) lifestyle concerns - alcohol or drugs category difference *,DIFF_CAT_Alcohol or Drugs
,* (1.1.8) lifestyle concerns - sun protection (before) *,BEFORE_Sun Protection
,* (1.1.8) lifestyle concerns - sun protection (after) *,AFTER_Sun Protection
,* (1.1.8) lifestyle concerns - sun protection numeric difference *,DIFF_NUM_Sun Protection
,* (1.1.8) lifestyle concerns - sun protection category difference *,DIFF_CAT_Sun Protection
,* (1.1.8) lifestyle concerns - hobbies (before) *,BEFORE_Hobbies
,* (1.1.8) lifestyle concerns - hobbies (after) *,AFTER_Hobbies
,* (1.1.8) lifestyle concerns - hobbies numeric difference *,DIFF_NUM_Hobbies
,* (1.1.8) lifestyle concerns - hobbies category difference *,DIFF_CAT_Hobbies
,* (1.1.8) lifestyle concerns - other (before) *,BEFORE_Other
,* (1.1.8) lifestyle concerns - other (after) *,AFTER_Other
,* (1.1.8) lifestyle concerns - other numeric difference *,DIFF_NUM_Other
,* (1.1.8) lifestyle concerns - other category difference *,DIFF_CAT_Other
,* (1.1.9) overall score (inc ni) *,overall_score_inc_ni
,* ( 1.1.10) further holistic needs assessment required (inc ni) *,1110_further_holistic_needs_assessment_required_inc_ni
,* last icj outcomes completed *,last_icj_outcomes_completed
,* first icj outcomes completed *,first_icj_outcomes_completed
,* ranking (from first to last completed icj outcomes) *,ranking_from_first_to_last_completed_icj_outcomes
,* (1.1.3) agency 1 *,agency_1
,* (1.1.3) agency 1 - contact *,agency_1_contact
,* (1.1.3) agency 1 - what happened *,agency_1_what_happened
,* (1.1.3) agency 1 - was service helpful *,agency_1_was_service_helpful
,* (1.1.3) agency 1 - score *,agency_1_score
,* (1.1.4) benefits *,benefits_1
,* (1.1.5) self management info *,self_management_info_1
,* (1.1.6) agency 2 *,agency_2
,* (1.1.6) agency 2 - contact *,agency_2_contact
,* (1.1.6) agency 2 - what happened *,agency_2_what_happened
,* (1.1.6) agency 2 - was service helpful *,agency_2_was_service_helpful
,* (1.1.6) agency 2 - score *,agency_2_score
,* (1.1.7) benefits *,benefits_2
,* (1.1.8) self management info *,self_management_info_2
,* (1.1.9) agency 3 *,agency_3
,* (1.1.9) agency 3 - contact *,agency_3_contact
,* (1.1.9) agency 3 - what happened *,agency_3_what_happened
,* (1.1.9) agency 3 - was service helpful *,agency_3_was_service_helpful
,* (1.1.9) agency 3 - score *,agency_3_score
,* (1.1.10) benefits *,benefits_3
,* (1.1.11) self management info *,self_management_info_3
,* (1.1.12) agency 4 *,agency_4
,* (1.1.12) agency 4 - contact *,agency_4_contact
,* (1.1.12) agency 4 - what happened *,agency_4_what_happened
,* (1.1.12) agency 4 - was service helpful *,agency_4_was_service_helpful
,* (1.1.12) agency 4 - score *,agency_4_score
,* (1.1.13) agency 5 *,agency_5
,* (1.1.13) agency 5 - contact *,agency_5_contact
,* (1.1.13) agency 5 - what happened *,agency_5_what_happened
,* (1.1.13) agency 5 - was service helpful *,agency_5_was_service_helpful
,* (1.1.13) agency 5 - score *,agency_5_score
,* (1.1.14) agency 6 *,agency_6
,* (1.1.14) agency 6 - contact *,agency_6_contact
,* (1.1.14) agency 6 - what happened *,agency_6_what_happened
,* (1.1.14) agency 6 - was service helpful *,agency_6_was_service_helpful
,* (1.1.14) agency 6 - score *,agency_6_score
,* (1.1.15) agency 7 *,agency_7
,* (1.1.15) agency 7 - contact *,agency_7_contact
,* (1.1.15) agency 7 - what happened *,agency_7_what_happened
,* (1.1.15) agency 7 - was service helpful *,agency_7_was_service_helpful
,* (1.1.15) agency 7 - score *,agency_7_score
,* (1.1.16) agency 8 *,agency_8
,* (1.1.16) agency 8 - contact *,agency_8_contact
,* (1.1.16) agency 8 - what happened *,agency_8_what_happened
,* (1.1.16) agency 8 - was service helpful *,agency_8_was_service_helpful
,* (1.1.16) agency 8 - score *,agency_8_score
,* (1.1.17) agency 9 *,agency_9
,* (1.1.17) agency 9 - contact *,agency_9_contact
,* (1.1.17) agency 9 - what happened *,agency_9_what_happened
,* (1.1.17) agency 9 - was service helpful *,agency_9_was_service_helpful
,* (1.1.17) agency 9 - score *,agency_9_score
,* (1.1.18) agency 10 *,agency_10
,* (1.1.18) agency 10 - contact *,agency_10_contact
,* (1.1.18) agency 10 - what happened *,agency_10_what_happened
,* (1.1.18) agency 10 - was service helpful *,agency_10_was_service_helpful
,* (1.1.18) agency 10 - score *,agency_10_score
,SIMD vigintiles,simd_vigintiles
,* last icj referral completed *,last_icj_referral_completed
,* first icj referral completed *,first_icj_referral_completed
,* ranking (from first to last completed icj referral) *,ranking_from_first_to_last_completed_icj_referral
,* (1.1.1) who is service for *,who_is_service_for
,* (1.1.2) referral source *,referral_source
,* (1.1.5) hear about icj service *,hear_about_icj_service
,* (2.1.1) mobility issues *,mobility_issues
,* (2.1.2) caring responsibilities *,caring_responsibilities
,* (2.1.3) benefit from money/debt advice *,benefit_from_moneydebt_advice
,* (2.1.4) mental health issues *,mental_health_issues
,* (2.1.5) consider yourself to have a disability *,consider_yourself_to_have_a_disability
,* (4.1.1) primary diagnosis (one) *,primary_diagnosis_one
,* (4.1.1) primary diagnosis (two) *,primary_diagnosis_two
,* (4.1.1) primary diagnosis (three) *,primary_diagnosis_three
,* (4.1.2) additional diagnosis (one) *,additional_diagnosis_one
,* (4.1.2) additional diagnosis (two) *,additional_diagnosis_two
,* (4.1.2) additional diagnosis (three) *,additional_diagnosis_three
,* (4.1.3) metastasis 1 *,metastasis_1
,* (4.1.4) metastasis 2 *,metastasis_2
,* (4.1.5) co morbidity 1 *,co_morbidity_1
,* (4.1.6) co morbidity 2 *,co_morbidity_2
,* (4.1.7) co morbidity 3 *,co_morbidity_3
,* (4.1.8) co morbidity 4 *,co_morbidity_4
,* (4.1.10) is there a history of cancer *,is_there_a_history_of_cancer
